missing_reference,count
Application number: 54431/19,1
Application number: 56793/19,1
Application number: 57394/19,1
Application number: 55465/19,1
Application number: 52739/19,1
Application number: 59585/19,1
Application number: 59919/19,1
Application number: 29402/20,1
Application number: 29121/20,1
Application number: 22886/20,1
Application number: 14372/20,1
Application number: 8635/20,1
Application number: 1035/21,1
Application number: 6979/20,1
Application number: 293/21,1
Application number: 1180/21,1
Application number: 40832/20,1
Application number: 35432/20,1
Application number: 3412/21,1
Application number: 21278/20,1
Application number: 20594/20,1
Application number: 8706/20,1
Application number: 53337/20,1
Application number: 34443/20,1
Application number: 8496/20,1
Application number: 30915/20,1
Application number: 43264/20,1
Application number: 24637/20,1
Application number: 36744/20,1
Application number: 1840/20,1
Application number: 917/20,1
Application number: 1076/20,1
Application number: 29227/20,1
Application number: 55085/21,1
Application number: 4276/20,1
Application number: 22446/20,1
Application number: 51338/20,1
Application number: 28418/20,1
Application number: 61036/19,1
Application number: 14657/20,1
Application number: 14041/20,1
Application number: 32058/20,1
Application number: 36405/20,1
Application number: 60802/19,1
Application number: 62267/19,1
Application number: 21640/20,1
Application number: 58266/19,1
Application number: 63566/19,1
Application number: 60320/19,1
Application number: 60281/19,1
Application number: 63782/19,1
Application number: 60990/19,1
Application number: 58253/19,1
Application number: 63162/19,1
Application number: 63362/19,1
Application number: 58032/19,1
Application number: 59986/19,1
Application number: 60949/19,1
Application number: 63308/19,1
Application number: 62735/19,1
Application number: 61138/19,1
Application number: 60373/19,1
Application number: 60715/19,1
Application number: 62668/19,1
Application number: 62489/19,1
Application number: 2867/20,1
Application number: 15782/20,1
Application number: 59841/19,1
Application number: 21997/20,1
Application number: 60334/19,1
Application number: 59937/19,1
Application number: 59760/19,1
Application number: 58706/19,1
Application number: 62931/19,1
Application number: 59582/19,1
Application number: 59036/19,1
Application number: 62732/19,1
Application number: 59099/19,1
Application number: 58770/19,1
Application number: 45979/21,1
Application number: 31909/19,1
Application number: 3158/22,1
Application number: 12108/22,1
Application number: 50644/22,1
Application number: 36602/22,1
Application number: 14352/22,1
Application number: 45278/22,1
Application number: 957/22,1
Application number: 45940/22,1
Application number: 23134/22,1
Application number: 5356/22,1
Application number: 14334/22,1
Application number: 22583/22,1
Application number: 45451/22,1
Application number: 5350/22,1
Application number: 42166/21,1
Application number: 12057/22,1
Application number: 1745/22,1
Application number: 23107/22,1
Application number: 11180/22,1
Application number: 58960/21,1
Application number: 46964/22,1
Application number: 39708/22,1
Application number: 40489/22,1
Application number: 42515/22,1
Application number: 43173/22,1
Application number: 39711/22,1
Application number: 42853/22,1
Application number: 41069/22,1
Application number: 33313/22,1
Application number: 34125/22,1
Application number: 36342/22,1
Application number: 33381/22,1
Application number: 18964/22,1
Application number: 28102/22,1
Application number: 22174/22,1
Application number: 26116/22,1
Application number: 53611/22,1
Application number: 45133/22,1
Application number: 14056/22,1
Application number: 1731/22,1
Application number: 59268/21,1
Application number: 45064/21,1
Application number: 35287/22,1
Application number: 55561/21,1
Application number: 1027/19,1
Application number: 54242/21,1
Application number: 45062/21,1
Application number: 49373/21,1
Application number: 53901/21,1
Application number: 37335/22,1
Application number: 51061/21,1
Application number: 48222/21,1
Application number: 57/22,1
Application number: 1032/19,1
Application number: 45067/21,1
Application number: 57852/21,1
Application number: 47070/21,1
Application number: 39969/22,1
Application number: 12092/22,1
Application number: 12103/22,1
Application number: 31253/22,1
Application number: 45185/22,1
Application number: 45077/22,1
Application number: 44866/22,1
Application number: 14552/22,1
Application number: 40279/22,1
Application number: 47817/21,1
Application number: 12097/22,1
Application number: 39818/20,1
Application number: 36765/21,1
Application number: 615/21,1
Application number: 9427/21,1
Application number: 50514/21,1
Application number: 42865/22,1
Application number: 41687/22,1
Application number: 35267/22,1
Application number: 15765/23,1
Application number: 35748/23,1
Application number: 35163/23,1
Application number: 25405/23,1
Application number: 13798/23,1
Application number: 15142/23,1
Application number: 14598/23,1
Application number: 9625/23,1
Application number: 6250/23,1
Application number: 16429/23,1
Application number: 14246/23,1
Application number: 16194/23,1
Application number: 25402/23,1
Application number: 15768/23,1
Application number: 25382/23,1
Application number: 13790/23,1
Application number: 25416/23,1
Application number: 28889/23,1
Application number: 37313/23,1
Application number: 35807/23,1
"Klass and Others v. Germany, judgment of 6 September 1978, Series A, no. 28",1
Application number: 68995/11,1
Application number: 2347/15,1
Application number: 25287/23,1
Application number: 36488/23,1
Application number: 25407/23,1
Application number: 28883/23,1
Application number: 37939/23,1
Application number: 36037/23,1
Application number: 35918/23,1
Application number: 37322/23,1
Application number: 25319/23,1
Application number: 37936/23,1
Application number: 37420/23,1
Application number: 14240/23,1
Application number: 14360/23,1
Application number: 46963/22,1
Application number: 14799/23,1
Application number: 49711/22,1
Application number: 47909/22,1
Application number: 49796/22,1
Application number: 38849/23,1
Application number: 46350/22,1
Application number: 39305/23,1
Application number: 47138/22,1
Application number: 41903/22,1
Application number: 46960/22,1
Application number: 46759/22,1
Application number: 46966/22,1
Application number: 46967/22,1
Application number: 46757/22,1
Application number: 46758/22,1
Application number: 46957/22,1
Application number: 30856/23,1
Application number: 47904/22,1
Application number: 40154/23,1
Application number: 11264/23,1
Application number: 15763/23,1
Application number: 15575/23,1
Application number: 14932/23,1
Application number: 12910/23,1
Application number: 10702/23,1
Application number: 14601/23,1
Application number: 14988/23,1
Application number: 30852/23,1
Application number: 25345/23,1
Application number: 15132/23,1
Application number: 25326/23,1
Application number: 25406/23,1
Application number: 14930/23,1
Application number: 13469/23,1
Application number: 59092/21,1
Application number: 43086/22,1
Application number: 13744/19,1
Application number: 79492/17,1
Application number: 74353/17,1
Application number: 47347/18,1
Application number: 69510/17,1
Application number: 25054/17,1
Application number: 27247/17,1
Application number: 70521/17,1
Application number: 70443/17,1
Application number: 75035/17,1
Application number: 705365/17,1
Application number: 70535/17,1
Application number: 15362/22,1
Application number: 7687/22,1
Application number: 76/15,1
Application number: 50/15,1
"Gitonas and Others v. Greece, 1 July 1997, § 44, Reports of Judgments and Decisions 1997-IV",1
Application number: 78721/17,1
Application number: 3115/18,1
Application number: 47523/21,1
Application number: 3504/18,1
Application number: 37096/18,1
Application number: 58241/19,1
Application number: 6025/19,1
Application number: 16606/19,1
Application number: 33549/21,1
Application number: 18956/19,1
Application number: 22003/18,1
Application number: 10167/19,1
Application number: 2572/18,1
Application number: 41193/18,1
Application number: 74235/17,1
Application number: 71097/17,1
Application number: 4138/18,1
Application number: 64176/17,1
Application number: 74347/17,1
Application number: 5952/03,1
Application number: 772/94,1
Application number: 33578/02,1
Application number: 32637/96,1
Application number: 56092/22,1
Application number: 6455/23,1
Application number: 78/22,1
Application number: 17275/23,1
Application number: 10581/23,1
Application number: 53602/22,1
Application number: 10659/22,1
Application number: 33209/22,1
Application number: 60739/21,1
Application number: 11000/22,1
Application number: 41097/22,1
Application number: 33055/23,1
Application number: 43380/22,1
Application number: 57352/21,1
Application number: 10831/22,1
Application number: 9049/23,1
Application number: 33/22,1
Application number: 16080/23,1
"Akdivar and Others v. Turkey, 16 September 1996, §§ 67 and 68, Reports of Judgments and Decisions 1996-IV",1
"Malone v. the United Kingdom, 2 August 1984, § 68, Series A no 82",1
"Leander v. Sweden, 26 March 1987, § 51, Series A no 116",1
"Klass and Others v. Germany, 6 September 1978, § 50, Series A no 28",1
"Huvig v. France, 24 April 1990, § 29, Series A no 176-B",1
Application number: 14064/07,1
Application number: 28819/12,1
Application number: 46141/12,1
Application number: 134/22,1
Application number: 34556/23,1
Application number: 35271/23,1
Application number: 3938/23,1
Application number: 103/17,1
Application number: 113/22,1
Application number: 123/20,1
Application number: 22675/19,1
Application number: 43731/19,1
Application number: 25910/20,1
Application number: 13141/19,1
Application number: 14963/18,1
Application number: 49305/19,1
Application number: 49803/19,1
Application number: 8000/19,1
Application number: 28600/19,1
Application number: 62360/19,1
Application number: 5247/19,1
Application number: 21039/19,1
Application number: 21183/19,1
Application number: 13509/19,1
Application number: 50509/18,1
Application number: 51193/19,1
Application number: 19901/19,1
Application number: 19897/19,1
Application number: 14207/19,1
Application number: 21176/19,1
Application number: 21041/19,1
Application number: 13193/19,1
Application number: 51207/19,1
Application number: 3982/22,1
Application number: 45059/21,1
"Emin Huseynov v. Azerbaijan (no. 2), no. 1/16, § 67-68, 13 July 2023",1
Application number: 48735/19,1
Application number: 56138/18,1
Application number: 58694/19,1
Application number: 3429/10,1
Application number: 42571/21,1
Application number: 10512/16,1
Application number: 30092/19,1
Application number: 24447/19,1
Application number: 47643/19,1
Application number: 20286/19,1
Application number: 5266/19,1
Application number: 8254/18,1
Application number: 17922/19,1
Application number: 8029/22,1
Application number: 6012/19,1
Application number: 3541/22,1
Application number: 52250/21,1
Application number: 46220/22,1
Application number: 37095/22,1
Application number: 6371/19,1
Application number: 390/18,1
Application number: 49497/21,1
Application number: 1438/22,1
Application number: 3770/18,1
Application number: 43954/18,1
Application number: 15012/19,1
Application number: 14651/20,1
Application number: 13758/19,1
Application number: 55220/18,1
Application number: 22034/18,1
Application number: 46750/22,1
Application number: 3551/18,1
Application number: 53236/21,1
Application number: 19080/19,1
Application number: 6955/19,1
Application number: 9581/20,1
Application number: 50128/18,1
Application number: 44234/21,1
Application number: 20057/19,1
Application number: 44634/18,1
Application number: 22909/19,1
Application number: 46244/22,1
Application number: 48647/22,1
Application number: 57826/21,1
Application number: 47963/22,1
Application number: 49384/21,1
Application number: 46210/22,1
Application number: 49660/21,1
"Leander v. Sweden, 26 March 1987, Series A, no. 116",1
Application number: 61350/21,1
Application number: 29440/19,1
Application number: 39591/20,1
Application number: 54414/21,1
Application number: 39270/21,1
Application number: 36667/20,1
Application number: 33640/20,1
Application number: 44546/20,1
Application number: 39062/20,1
Application number: 40698/20,1
Application number: 40696/20,1
Application number: 35003/20,1
Application number: 36967/20,1
Application number: 35978/20,1
Application number: 36342/20,1
Application number: 36939/20,1
Application number: 36964/20,1
Application number: 36618/20,1
Application number: 39278/20,1
Application number: 39713/20,1
Application number: 12396/21,1
Application number: 53735/22,1
Application number: 10095/20,1
Application number: 47288/19,1
Application number: 13646/19,1
Application number: 19829/19,1
Application number: 25595/19,1
Application number: 73704/16,1
Application number: 1953/21,1
Application number: 42921/19,1
Application number: 43997/20,1
Application number: 20844/20,1
"Niemietz v. Germany, 16 December 1992, §§ 32 and 37, Series A no 251-B",1
"Campbell v. the United Kingdom, 25 March 1992, §§ 46-48, Series A no 233",1
"De Cubber v. Belgium, 26 October 1984, §§ 24-26, Series A no. 86",1
Application number: 51391/09,1
Application number: 57566/21,1
Application number: 40697/20,1
Application number: 40693/20,1
Application number: 35006/20,1
Application number: 39091/20,1
Application number: 30130/20,1
Application number: 36338/20,1
Application number: 31116/20,1
Application number: 36326/20,1
Application number: 30127/20,1
Application number: 35977/20,1
Application number: 34923/20,1
Application number: 36340/20,1
Application number: 31158/20,1
Application number: 31161/20,1
Application number: 31153/20,1
Application number: 35671/21,1
Application number: 21579/20,1
Application number: 35759/21,1
Application number: 60483/21,1
Application number: 33937/20,1
Application number: 33744/20,1
Application number: 33748/20,1
Application number: 39088/20,1
Application number: 40051/20,1
Application number: 37127/20,1
Application number: 36938/20,1
Application number: 45015/20,1
Application number: 33754/20,1
Application number: 39071/20,1
Application number: 44543/20,1
Application number: 35001/20,1
Application number: 30129/20,1
Application number: 30132/20,1
Application number: 31154/20,1
Application number: 34324/20,1
Application number: 35443/20,1
Application number: 33762/20,1
Application number: 63805/17,1
Application number: 61213/17,1
Application number: 34118/19,1
Application number: 64892/19,1
Application number: 58438/17,1
Application number: 26395/20,1
Application number: 36920/20,1
Application number: 34186/20,1
Application number: 58097/19,1
Application number: 53735/19,1
Application number: 30663/21,1
Application number: 11695/20,1
Application number: 4639/20,1
Application number: 23990/20,1
Application number: 57668/19,1
Application number: 6915/20,1
Application number: 37619/19,1
Application number: 9353/20,1
Application number: 30055/19,1
Application number: 3085/21,1
Application number: 39634/21,1
Application number: 24401/20,1
Application number: 35695/21,1
Application number: 22973/20,1
Application number: 17592/21,1
Application number: 15852/20,1
Application number: 11302/20,1
Application number: 42047/19,1
Application number: 21969/20,1
Application number: 20497/18,1
Application number: 16538/21,1
Application number: 26910/21,1
Application number: 3578/20,1
Application number: 35260/19,1
Application number: 28759/20,1
Application number: 4397/20,1
Application number: 61212/19,1
Application number: 1156/20,1
Application number: 54144/19,1
Application number: 39229/19,1
Application number: 41368/20,1
Application number: 17120/20,1
Application number: 125/20,1
Application number: 64029/19,1
Application number: 51383/20,1
Application number: 2897/20,1
Application number: 34595/19,1
Application number: 1179/17,1
Application number: 48669/20,1
Application number: 56483/16,1
Application number: 42196/18,1
Application number: 27132/19,1
Application number: 68692/17,1
Application number: 62652/17,1
Application number: 16039/20,1
Application number: 54520/17,1
Application number: 37253/19,1
Application number: 49910/19,1
Application number: 24308/20,1
Application number: 27196/19,1
Application number: 44990/19,1
Application number: 43464/20,1
Application number: 41659/19,1
Application number: 33165/21,1
Application number: 33806/20,1
Application number: 23886/20,1
Application number: 32060/20,1
Application number: 29181/20,1
Application number: 17040/20,1
Application number: 33343/21,1
Application number: 16207/20,1
Application number: 27256/20,1
Application number: 65111/19,1
Application number: 56884/19,1
Application number: 17379/20,1
Application number: 51175/20,1
Application number: 7062/21,1
Application number: 53201/22,1
Application number: 56728/21,1
Application number: 1253/22,1
Application number: 31236/21,1
Application number: 25441/19,1
Application number: 24019/19,1
Application number: 44900/21,1
Application number: 37244/21,1
Application number: 34063/20,1
Application number: 32720/21,1
Application number: 29477/19,1
Application number: 4438/19,1
Application number: 13034/20,1
Application number: 11702/19,1
Application number: 8570/19,1
Application number: 5907/20,1
Application number: 17171/20,1
Application number: 44626/21,1
Application number: 15444/20,1
Application number: 14667/20,1
Application number: 14731/20,1
Application number: 28922/19,1
Application number: 7131/22,1
Application number: 6421/21,1
Application number: 57373/21,1
Application number: 43091/20,1
Application number: 41866/21,1
Application number: 27716/20,1
Application number: 40948/18,1
Application number: 12215/20,1
Application number: 17919/22,1
Application number: 48205/21,1
Application number: 48076/21,1
Application number: 41198/21,1
Application number: 43290/18,1
Application number: 33822/21,1
Application number: 6674/22,1
Application number: 18119/19,1
Application number: 45567/18,1
Application number: 54836/21,1
Application number: 57110/21,1
Application number: 5498/22,1
Application number: 26953/21,1
Application number: 32572/23,1
Application number: 10068/19,1
Application number: 32086/21,1
Application number: 8940/20,1
Application number: 49358/19,1
Application number: 14092/22,1
"X and Y v. the Netherlands, 26 March 1985, §§ 21-30, Series A no. 91",1
"Aydın v. Turkey, 25 September 1997, § 103, Reports of Judgments and Decisions 1997 VI",1
Application number: 25390/22,1
Application number: 58029/12,1
Application number: 37040/21,1
Application number: 60110/21,1
Application number: 13527/19,1
Application number: 47495/21,1
Application number: 35211/19,1
Application number: 12170/19,1
Application number: 36590/21,1
Application number: 19026/19,1
Application number: 48765/19,1
Application number: 47641/19,1
Application number: 44864/21,1
Application number: 60192/21,1
Application number: 18968/21,1
Application number: 32026/21,1
Application number: 31967/20,1
Application number: 34258/20,1
Application number: 34206/20,1
Application number: 59894/21,1
Application number: 41586/21,1
Application number: 28239/22,1
Application number: 2384/21,1
Application number: 5/06,1
"Steel and Others v. the United Kingdom, 23 September 1998, §§ 89 and 92, Reports 1998‑VII",1
"Engel and Others v. the Netherlands, 8 June 1976, §§ 58 59, Series A no. 22",1
Application number: 27390/20,1
Application number: 29665/20,1
Application number: 29786/20,1
Application number: 1088/19,1
Application number: 25344/20,1
Application number: 1089/19,1
Application number: 28028/20,1
Application number: 28400/20,1
Application number: 27369/20,1
Application number: 27401/20,1
Application number: 3058/17,1
Application number: 3067/17,1
Application number: 27912/20,1
Application number: 1193/20,1
Application number: 677/21,1
Application number: 3326/13,1
Application number: 40715/16,1
Application number: 1342/23,1
Application number: 32734/19,1
Application number: 15200/23,1
Application number: 6765/23,1
Application number: 19204/19,1
Application number: 43629/21,1
Application number: 59657/21,1
Application number: 1853/21,1
Application number: 44960/15,1
Application number: 4860/17,1
"Pudas v. Sweden, 27 October 1987, § 34, Series A no. 125 A",1
"Obermeier v. Austria, 28 June 1990, § 69, Series A no. 179",1
"Mats Jacobsson v. Sweden, 28 June 1990, § 32, Series A no. 180 A",1
Application number: 663/05,1
Application number: 3053/17,1
Application number: 3069/17,1
Application number: 45990/18,1
Application number: 27378/20,1
Application number: 44688/21,1
Application number: 44565/21,1
Application number: 59626/21,1
Application number: 47901/21,1
Application number: 37320/21,1
Application number: 57091/21,1
Application number: 55326/19,1
Application number: 59621/21,1
Application number: 54/54,1
Application number: 18324/19,1
Application number: 41009/18,1
Application number: 39715/19,1
Application number: 48124/22,1
Application number: 37773/21,1
Application number: 49203/19,1
Application number: 9625/22,1
Application number: 3056/17,1
Application number: 28185/20,1
Application number: 25623/20,1
Application number: 3050/17,1
Application number: 27938/20,1
Application number: 3057/17,1
Application number: 28623/20,1
Application number: 3065/17,1
Application number: 27381/20,1
Application number: 349/21,1
Application number: 27831/20,1
Application number: 3070/17,1
Application number: 162/10,1
Application number: 182/22,1
Application number: 3052/17,1
Application number: 27437/20,1
Application number: 27388/20,1
Application number: 32409/23,1
Application number: 33199/22,1
Application number: 8581/22,1
Application number: 50554/21,1
Application number: 50555/21,1
Application number: 51715/21,1
Application number: 51220/21,1
Application number: 48943/21,1
Application number: 50286/21,1
Application number: 27118/23,1
Application number: 26029/23,1
Application number: 17877/23,1
Application number: 14626/23,1
Application number: 26588/23,1
Application number: 25573/23,1
Application number: 26650/23,1
Application number: 15120/23,1
Application number: 25810/23,1
Application number: 14623/23,1
Application number: 53950/21,1
Application number: 51882/21,1
Application number: 2417/22,1
Application number: 49840/21,1
Application number: 53996/21,1
Application number: 53968/21,1
Application number: 54745/21,1
Application number: 51079/21,1
Application number: 54310/21,1
Application number: 53981/21,1
Application number: 54207/21,1
Application number: 55630/21,1
Application number: 53953/21,1
Application number: 57160/21,1
Application number: 54060/21,1
Application number: 53947/21,1
Application number: 52927/21,1
Application number: 49568/21,1
Application number: 55635/21,1
Application number: 25636/23,1
Application number: 17444/23,1
Application number: 25725/23,1
Application number: 25638/23,1
Application number: 42110/21,1
Application number: 42588/21,1
Application number: 56863/21,1
Application number: 42102/21,1
Application number: 55895/21,1
Application number: 42060/21,1
Application number: 58684/21,1
Application number: 43237/21,1
Application number: 42151/21,1
Application number: 42100/21,1
Application number: 57035/21,1
Application number: 56916/21,1
Application number: 57108/21,1
Application number: 41740/21,1
Application number: 42050/21,1
Application number: 41725/21,1
Application number: 42091/21,1
Application number: 41710/21,1
Application number: 45295/21,1
Application number: 26451/23,1
Application number: 25701/23,1
Application number: 26243/23,1
Application number: 25420/23,1
Application number: 26455/23,1
Application number: 17733/23,1
Application number: 25571/23,1
Application number: 42123/21,1
Application number: 16923/23,1
Application number: 45494/21,1
Application number: 26245/23,1
Application number: 27042/23,1
Application number: 42510/21,1
Application number: 42587/21,1
Application number: 54301/21,1
Application number: 53889/21,1
Application number: 51444/21,1
Application number: 1769/22,1
Application number: 1563/22,1
Application number: 704/22,1
Application number: 749/22,1
Application number: 2065/22,1
Application number: 1866/22,1
Application number: 1537/22,1
Application number: 1173/22,1
Application number: 894/22,1
Application number: 861/22,1
Application number: 724/22,1
Application number: 1789/22,1
Application number: 858/22,1
Application number: 505/22,1
Application number: 2096/22,1
Application number: 1538/22,1
Application number: 1568/22,1
Application number: 868/22,1
Application number: 1068/22,1
Application number: 5049/22,1
Application number: 28004/22,1
Application number: 7254/22,1
Application number: 5357/22,1
Application number: 15308/22,1
Application number: 3212/22,1
Application number: 2473/22,1
Application number: 24787/22,1
Application number: 1123/22,1
Application number: 4964/22,1
Application number: 7325/22,1
Application number: 2451/22,1
Application number: 11098/22,1
Application number: 912/22,1
Application number: 2020/22,1
Application number: 605/22,1
Application number: 437/22,1
Application number: 51088/21,1
Application number: 1511/22,1
Application number: 51231/21,1
Application number: 54359/21,1
Application number: 54450/21,1
Application number: 54373/21,1
Application number: 55437/21,1
Application number: 51084/21,1
Application number: 54847/21,1
Application number: 51107/21,1
Application number: 54107/21,1
Application number: 53984/21,1
Application number: 51398/21,1
Application number: 51090/21,1
Application number: 53994/21,1
Application number: 54227/21,1
Application number: 51110/21,1
Application number: 53932/21,1
Application number: 53522/21,1
Application number: 53884/21,1
Application number: 1202/22,1
Application number: 1114/22,1
Application number: 575/22,1
Application number: 733/22,1
Application number: 1908/22,1
Application number: 2074/22,1
Application number: 732/22,1
Application number: 1231/22,1
Application number: 51386/21,1
Application number: 2025/22,1
Application number: 1109/22,1
Application number: 891/22,1
Application number: 588/22,1
Application number: 1588/22,1
Application number: 719/22,1
Application number: 42400/21,1
Application number: 42106/21,1
Application number: 58278/21,1
Application number: 28400/23,1
Application number: 67333/13,1
Application number: 61872/11,1
Application number: 48852/17,1
"Saeed v. Denmark (dec.), no. 53/12, 24 June 2014",1
Application number: 2879/20,1
Application number: 950/19,1
Application number: 2880/20,1
Application number: 373/09,1
Application number: 430/10,1
Application number: 2027/22,1
Application number: 372/09,1
Application number: 26874/23,1
Application number: 26871/23,1
Application number: 29170/23,1
Application number: 23070/23,1
Application number: 46024/12,1
Application number: 6430/13,1
Application number: 20655/19,1
Application number: 46104/21,1
Application number: 47578/22,1
Application number: 24713/22,1
Application number: 22582/21,1
Application number: 13220/22,1
Application number: 45286/21,1
Application number: 33769/22,1
Application number: 52091/22,1
Application number: 54009/18,1
Application number: 11599/22,1
"Pullar v. the United Kingdom, 10 June 1996, § 38, Reports 1996-III",1
"Kostovski v. the Netherlands, 20 November 1989, §§ 38-44, Series A no. 166",1
"Cantoni v. France, 15 November 1996, § 29, Reports 1996 V",1
"Advisory opinion on the applicability of statutes of limitation to prosecution, conviction and punishment in respect of an offence constituting, in substance, an act of torture [GC], request no. P16-2021-001, Armenian Court of Cassation, § 67, 26 April 2022",1
"Advisory opinion concerning the use of the “blanket reference” or “legislation by reference” technique in the definition of an offence and the standards of comparison between the criminal law in force at the time of the commission of the offence and the amended criminal law [GC], request no. P16-2019-001, Armenian Constitutional Court, §§ 60 and 62, 29 May 2020",1
Application number: 26222/23,1
Application number: 30637/23,1
Application number: 12079/22,1
Application number: 19267/23,1
Application number: 32138/14,1
Application number: 41642/13,1
Application number: 40481/15,1
Application number: 30962/17,1
Application number: 19219/16,1
Application number: 4584/14,1
Application number: 60587/15,1
Application number: 59573/14,1
Application number: 43265/13,1
Application number: 23246/16,1
Application number: 4102/16,1
Application number: 50218/15,1
Application number: 50579/15,1
Application number: 3345/22,1
Application number: 59547/21,1
Application number: 17325/14,1
Application number: 50661/21,1
Application number: 52688/21,1
Application number: 32772/23,1
Application number: 27259/23,1
Application number: 23947/23,1
Application number: 38228/22,1
Application number: 33533/22,1
Application number: 531/18,1
Application number: 32823/23,1
Application number: 26960/23,1
Application number: 12640/21,1
Application number: 27452/22,1
Application number: 11173/23,1
Application number: 49047/18,1
Application number: 44043/21,1
Application number: 54412/21,1
Application number: 24791/17,1
Application number: 46129/21,1
Application number: 3042/22,1
Application number: 41941/21,1
Application number: 25176/19,1
Application number: 10332/21,1
Application number: 11096/21,1
Application number: 37290/19,1
Application number: 11102/21,1
Application number: 14838/21,1
Application number: 13234/21,1
Application number: 13241/21,1
Application number: 41334/19,1
Application number: 53406/19,1
Application number: 11316/20,1
Application number: 3498/18,1
Application number: 56943/19,1
Application number: 30560/18,1
Application number: 3149/18,1
Application number: 33575/21,1
Application number: 11676/21,1
Application number: 11608/21,1
Application number: 38912/21,1
Application number: 59648/21,1
Application number: 55900/21,1
Application number: 42579/21,1
Application number: 55912/21,1
Application number: 42108/21,1
Application number: 57171/21,1
Application number: 31860/21,1
Application number: 45853/21,1
Application number: 53244/21,1
Application number: 46147/21,1
Application number: 2148/22,1
Application number: 40314/21,1
Application number: 2059/22,1
Application number: 40319/21,1
Application number: 40315/21,1
Application number: 49639/19,1
Application number: 2828/18,1
Application number: 40255/22,1
Application number: 36969/21,1
Application number: 19233/21,1
Application number: 9177/20,1
Application number: 28576/21,1
Application number: 22093/19,1
Application number: 20843/19,1
Application number: 48440/20,1
Application number: 3451/18,1
Application number: 7480/18,1
Application number: 75194/17,1
Application number: 52879/20,1
Application number: 24067/22,1
Application number: 31689/22,1
Application number: 1276/22,1
Application number: 22474/21,1
Application number: 41557/22,1
Application number: 4250/18,1
Application number: 20840/19,1
Application number: 4386/18,1
Application number: 2420/18,1
Application number: 26614/21,1
Application number: 44743/20,1
Application number: 30832/18,1
Application number: 55228/19,1
Application number: 1864/21,1
Application number: 63851/19,1
Application number: 55370/20,1
Application number: 47190/18,1
Application number: 12567/21,1
Application number: 3016/18,1
Application number: 24401/21,1
Application number: 38040/20,1
Application number: 43262/20,1
Application number: 64319/19,1
Application number: 43156/22,1
Application number: 5632/22,1
Application number: 33197/22,1
Application number: 25465/21,1
Application number: 52092/21,1
Application number: 19877/21,1
Application number: 11439/21,1
Application number: 59541/21,1
Application number: 147/22,1
Application number: 10012/22,1
Application number: 33267/22,1
Application number: 48816/21,1
Application number: 58071/21,1
Application number: 33612/21,1
Application number: 37193/22,1
Application number: 38023/21,1
Application number: 61009/21,1
Application number: 20556/22,1
Application number: 14051/22,1
Application number: 20618/21,1
Application number: 46273/21,1
Application number: 23596/22,1
Application number: 59472/21,1
Application number: 1426/22,1
Application number: 36204/22,1
Application number: 45375/21,1
Application number: 24677/22,1
Application number: 45344/21,1
Application number: 45313/21,1
Application number: 45320/21,1
Application number: 40249/22,1
Application number: 24699/22,1
Application number: 37271/22,1
Application number: 24684/22,1
Application number: 24147/21,1
Application number: 56942/21,1
Application number: 4787/23,1
Application number: 42885/21,1
Application number: 22763/22,1
Application number: 8889/22,1
Application number: 2999/22,1
Application number: 5680/22,1
Application number: 8961/22,1
Application number: 6099/22,1
Application number: 3732/22,1
Application number: 3618/22,1
Application number: 8450/22,1
Application number: 298/19,1
Application number: 39558/10,1
Application number: 49105/18,1
Application number: 4992/23,1
Application number: 6129/22,1
Application number: 25798/22,1
Application number: 54892/21,1
Application number: 42544/21,1
Application number: 48403/18,1
Application number: 40304/21,1
Application number: 6881/22,1
Application number: 30020/21,1
Application number: 4076/22,1
Application number: 10983/22,1
Application number: 37778/21,1
Application number: 7422/22,1
Application number: 5768/22,1
Application number: 4787/22,1
Application number: 3482/22,1
Application number: 55567/21,1
Application number: 4131/22,1
Application number: 31358/21,1
Application number: 4921/22,1
Application number: 4015/22,1
Application number: 4040/22,1
Application number: 14287/21,1
Application number: 5990/22,1
Application number: 2282/21,1
Application number: 53283/21,1
Application number: 31707/21,1
Application number: 47539/22,1
Application number: 56355/21,1
Application number: 57682/21,1
Application number: 57694/21,1
Application number: 57152/21,1
Application number: 54177/21,1
Application number: 54186/21,1
Application number: 59920/21,1
Application number: 55382/21,1
Application number: 443/22,1
Application number: 57350/21,1
Application number: 59216/21,1
Application number: 51348/21,1
Application number: 57679/21,1
Application number: 57686/21,1
Application number: 55318/21,1
Application number: 57691/21,1
Application number: 51392/21,1
Application number: 59042/21,1
Application number: 57681/21,1
Application number: 85/20,1
Application number: 33429/23,1
Application number: 22143/22,1
Application number: 34099/22,1
Application number: 9465/22,1
Application number: 13905/22,1
Application number: 33201/22,1
Application number: 42882/22,1
Application number: 57165/21,1
Application number: 52462/21,1
Application number: 2584/20,1
Application number: 136/21,1
Application number: 602/19,1
Application number: 38002/22,1
Application number: 57162/21,1
Application number: 56850/21,1
Application number: 916/22,1
Application number: 41720/22,1
Application number: 48628/21,1
Application number: 11863/23,1
Application number: 43669/21,1
Application number: 47526/22,1
Application number: 43663/21,1
Application number: 319/21,1
Application number: 400/18,1
Application number: 41422/22,1
Application number: 17064/22,1
Application number: 45339/21,1
Application number: 48595/22,1
Application number: 14670/22,1
Application number: 45336/21,1
Application number: 45335/21,1
Application number: 50135/22,1
Application number: 23615/22,1
