0
""
"Bijelic v. Montenegro and Serbia, no. 11890/05, 28 April 2009"
"Armoniene v. Lithuania, no. 36919/02, 25 November 2008"
"Denis Vasilyev v. Russia, no. 32704/04, § 157, 17 December 2009"
"Allan v. the United Kingdom, no. 48539/99, ECHR 2002-IX"
"Ponushkov v. Russia, no. 30209/04, § 78, 6 November 2008"
"V.C. v. Slovakia, no. 18968/07, ECHR 2011-... (extracts)"
"Muravskaya v. Ukraine, no. 249/03, 13 November 2008"
"Marpa Zeeland B.V. and Metal Welding B.V. v. the Netherlands, no. 46300/99, § 48, ECHR 2004-X"
"Scordino v. Italy (no. 1) [GC], no. 36813/97, §§ 140-149, ECHR 2006-V"
"Wolkenberg and Others v. Poland (dec.) no. 50003/99, 4 December 2007, §§ 34-35, 43-44 and 76-77, ECHR 2007-XIV"
"Lesiak v. Poland no. 19218/07, §§ 76-77, 1 February 2011"
"Stubbings and Others v. the United Kingdom, 22 October 1996, § 51, Reports 1996-IV"
"Centro Europa 7 S.r.1. and Di Stefano v. Italy [GC], no. 38433/09, § 143, 7 June 2012"
"Dedovskiy and Others v. Russia, no. 7178/03, § 92, ECHR 2008 (extracts)"
"Nnyanzi v. the United Kingdom, no. 21878/06, 8 April 2008"
"Nachova and Others v. Bulgaria [GC], nos. 43577/98 and 43579/98, § 160, ECHR 2005-VII"
"Ignaccolo-Zenide v. Romania, no 31679/96, ECHR 2000-I"
"Goncharova and Others and 68 other “Privileged Pensioners” cases v. Russia, nos. 23113/08 etc., 15 October 2009"
"Kopecky v. Slovakia, no 44912/98, ECHR 2004-IX"
"Yousef v. the Netherlands, no. 33711/96, § 73"
"Zvolský and Zvolská v. the Czech Republic, no 46129/99, ECHR 2002-IX"
"Kamasinski v. Austria, 19 December 1989, § 91, Series A no. 168"
"Sangariyeva and Others v. Russia, no. 1839/04, 29 May 2008"
"Berdzenishvili v. Russia (dec.), no 31697/03, 29 January 2004"
"Féret v. Belgium, no. 15615/07, 16 July 2009"
"K. and T. v. Finland [GC], no 25702/94, § 178, ECHR 2001-VII"
"Chemodurov v. Russia, no. 72683/01, §§ 28-29, 31 July 2007"
"Nolan and K. v. Russia, no. 2512/04, § 56, 12 February 2009"
"Carbonara and Ventura v. Italy, no. 24638/94, ECHR 2000-VI"
"Nilsen and Johnsen v. Norway [GC], no. 23118/93, § 46, ECHR 1999-VIII"
"Scordino v. Italy (no. 1) [GC], no. 36813/97, § 195, ECHR 2006"
"Dombo Beheer B.V. v. the Netherlands du 27 October 1993, § 33, Series A no 274"
"Döry v. Sweden, no. 28394/95, § 37, 12 November 2002"
"Hüseyin Yildirim v. Turkey, no 2778/02, § 83, 3 May 2007"
"Nalbant v. Turkey, no. 61914/00, § 36, 10 August 2006"
"Andronicou and Constantinou v. Cyprus, 9 October 1997, § 192, Reports of Judgments and Decisions 1997-VI"
"Saadi v. the United Kingdom [GC], no. 13229/03, § 43, 29 January 2008"
"Hukic v. Sweden (dec.), no. 17416/05, 27 September 2005"
"Merit v. Ukraine, no. 66561/01, §§ 65-66, 30 March 2004"
"Sørensen and Rasmussen v. Denmark [GC], nos. 52562/99 and 52620/99, ECHR 2006-I"
"Martinez Sala and Others v. Spain, no. 58438/00, §§ 123 and 125, 2 November 2004"
"Knudsen v. Norway, no 11045/84, decision of the Commission du 8 March 1985, DR 42, p. 258"
"Evans v. the United Kingdom [GC], no. 6339/05, § 71, ECHR 2007-IV"
"Allenet de Ribemont v. France, judgment of 10 February 1995, Series A no. 308, §§ 38-41"
"Puolitaival and Pirttiaho v. Finland, no. 54857/00, § 44, 23 November 2004"
"Dolgova v. Russia, no. 11886/05, 2 March 2006"
"Bulfinsky v. Romania, no. 28823/04, 1 June 2010"
"Yasa v. Turkey, 2 September 1998, Reports of Judgments and Decisions 1998-VI"
"Guz v. Poland (dec.), no. 29293/02, 19 May 2005"
"S.P. v. Belgium (dec.), no. 12572/08, 14 June 2011"
"Burdov v. Russia, no 59498/00, § 30, ECHR 2002-III"
"X. v. the United Kingdom, no. 7566/76, Commission decision of 11 December 1976, Decisions and Reports (D.R.) 9, p. 121"
"Société de conception de presse et d’édition and Ponson v. France, no. 26935/05, §§ 57 and 63, 5 March 2009"
"Tierce v. San Marino, no. 69700/01, § 32, ECHR 2003 VII"
"Tomasi v. France, judgment of 27 August 1992, § 79, Series A no. 241-A"
"X. v. the United Kingdom, no. 9054/80, Commission decision of 8 October 1982, DR 30, p. 115"
"Christine Goodwin v. the United Kingdom [GC], no. 28957/95, § 78, ECHR 2002-VI"
"Brüggemann and Scheuten v. Germany, no 6959/75, Report of the Commission of 12 July 1977, Decisions and Reports 10, p. 137, § 55"
"Laska and Lika v. Albania, nos. 12351/04 and 17605/04, § 47, 20 April 2010"
"Hugh Jordan v. the United Kingdom, no 24746/94, § 134, ECHR 2001-III (extracts)"
"Ghavtadze v. Georgia, no. 23204/07, § 104, 3 March 2009"
"Kanlibas v. Turkey (dec.), no 32444/96, 28 April 2005"
"Shanaghan v. the United Kingdom, no. 37715/97, § 90, ECHR 2001-III"
"K.H. and Others v. Slovakia, no. 32881/04, §§ 64-69, ECHR 2009-... (extracts)"
"James and Others v. the United Kingdom, judgment of 21 February 1986, Series A no. 98, pp. 29-30, § 37"
"Skiba v. Poland (dec.), no. 10659/03, 7 July 2009"
"Martynets v. Russia (dec.), no 29612/09, 5 November 2009"
"Malhous v. the Czech Republic (dec.), no. 33071/96, ECHR 2000-XII"
"Isgrò v. Italy, judgment of 19 February 1991, § 34, Series A no 194-A"
"E. v. Norway, 29 August 1990, § 50, Series A no. 181 A"
"Tre Traktörer AB v. Sweden, 7 July 1989, § 53, Series A no. 159"
"Yürekli v. Turkey, no 48913/99, §§ 30-32, 17 July 2008"
"Skugar and Others v. Russia (dec.), no. 40010/04, 3 December 2009, with further references"
"Ramirez Sanchez v. France [GC], no 59450/00, §§ 115-116, ECHR 2006-IX"
"Tanrikulu v. Turkey [GC], no. 23763/94, ECHR 1999-IV, § 104"
"Ernst and Others v. Belgium, no 33400/96, § 94, 15 July 2003"
"Al-Shari and Others v. Italy (dec.), no 57/03, 5 July 2005"
"S. and Marper v. the United Kingdom [GC], nos. 30562/04 and 30566/04, § 134, ECHR 2008"
"Iletmis v. Turkey, no. 29871/96, §§ 42-50, ECHR 2005-XII"
"Bellet v. France, 4 December 1995, § 36, Series A no. 333-B"
"Poulitsidi c. Greece, no 35178/05, 11 October 2007"
"Nikowitz and Verlagsgruppe News GmbH v. Austria, no 5266/03, § 25, 22 February 2007"
"Bouamar v. Belgium, 29 February 1988, § 60, Series A no. 129"
"Sukhobokov v. Russia, no. 75470/01, § 26, 13 April 2006"
"Velikova v. Bulgaria, no 41488/98, § 80, ECHR 2000-VI"
"Napijalo v. Croatia, no. 66485/01, 13 November 2003"
"Azerbaijan, Hummatov v. Azerbaijan, nos. 9852/03 and 13413/04, 29 November 2007"
"Shannon c. Latvia, no 32214/03, §§ 64-68, 24 November 2009"
"Wegera v. Poland, no. 141/07, 19 January 2010, §§ 74-75"
"Andre Loersch and Nouvelle Association du Courrier v. Switzerland, nos. 23868/94 and 23869/94, 24 February 1995, DR 80, p. 162"
"Scherer v. Switzerland, 25 March 1994, Series A no. 287"
"Association Ekin v. France, no. 39288/98, §§ 44 and 58, ECHR 2001-VIII"
"Yetisen and Others v. Turkey (dec.), no. 21099/06, 10 July 2012"
"Buonomo Gärber and Others v. Italy (dec.), no 63783/00, 20 May 2003"
"Antonicelli v. Poland, no. 2815/05, § 44-45, 19 May 2009"
"Herczegfalvy v. Austria, 24 September 1992, Series A no. 244"
"Pélissier and Sassi v. France [GC], no. 25444/94, ECHR 1999-II"
"Hokkanen v. Finland, 23 September 1994, Series A no. 299"
"Sequeira v. Portugal (dec.), no. 73557/01, ECHR 2003-VI"
"Imbert de Trémiolles v. France (dec.), nos. 25834/05 and 27815/05 (joined), 4 January 2008"
"Dzhabrailovy v. Russia, no. 3678/06, § 65, 20 May 2010"
"Kreuz v. Poland, no. 28249/95, §§ 54 and 55, ECHR 2001-VI"
"Akdivar and Others v. Turkey (Article 50), 1 April 1998, §§ 35-38, Reports 1998-II"
"Caka v. Albania, no. 44023/02, 8 December 2009"
"B. and P. v. the United Kingdom, nos. 36337/97 and 35974/97, ECHR 2001-III"
"Ignaccolo-Zenide v. Romania, no. 31679/96, ECHR 2000-I"
"James et autres c. Royaume-Uni, arrêt du 21 février 1986, série A no 98, p. 34, § 50"
"Moiseyev v. Russia, no. 62936/00, § 266, 9 October 2008"
"Chauvy et autres c. France (déc.), no 64915/01, 23 septembre 2003"
"Krone Verlag GmbH & Co. KG v. Austria, no. 34315/96, § 37, 26 February 2002"
"Aksoy v. Turkey, 18 December 1996, § 76, Reports of Judgments and Decisions 1996-VI"
"Rotaru v. Romania [GC], no 28341/95, §§ 67 à 69, ECHR 2000-V"
"Graužinis v. Lithuania, no. 37975/97, §§ 34-35, 10 October 2000"
"Dudgeon v. the United Kingdom, 22 October 1981, § 41, Series A no. 45"
"Tønsbergs Blad A.S. and Haukom v. Norway, no. 510/04, § 89, ECHR 2007-III"
"Smith and Grady v. the United Kingdom, nos. 33985/96 and 33986/96, § 88, ECHR 1999-VI"
"Former King of Greece and Others v. Greece [GC], no. 25701/94, § 89, ECHR 2000-XII"
"Kleuver v. Norway (dec.), no. 45837/99, 30 April 2002"
"Getiren v. Turkey, no. 10301/03, §§ 60-62, 22 July 2008"
"Rune Andersson v. Sweden, no 12781/87, decision of the Commission of 13 December 1998, Decisions and Reports (DR) 59, p. 171, §§ 2-3"
"Olsson v. Sweden (no. 1), 24 March 1988, § 68, Series A no. 130"
"Doorson v. the Netherlands, judgment of 26 March 1996, Reports 1996-II, p. 472"
"Assenov and Others v. Bulgaria, 28 October 1998, §§ 101-106, Reports 1998-VIII"
"Léger v. France (striking out) [GC], no. 19324/02, §§ 47-51, 30 March 2009"
"Ezelin v. France, 26 April 1991, § 35, Series A no. 202"
"Schmautzer v. Austria, 23 October 1995, § 44, Series A no. 328-A"
"Tolstoy Miloslavsky v. the United Kingdom, 13 July 1995, § 59, Series A no 316-B"
"Mooren v. Germany [GC], no. 11364/03, § 74, ECHR 2009"
"Ireland v. the United Kingdom, 18 January 1978, in fine, Series A no. 25"
"Klasen v. Germany, no. 75204/01, § 43, 5 October 2006"
"Rommelfanger v. Germany, no 12242/86, decision of the Commission du 6 September 1989, Decisions and Reports no 62"
"Makhkyagin v. Russia (dec.), no. 39537/03, 1 October 2009"
"Kolesnik v. Russia, no. 26876/08, § 73, 17 June 2010"
"Pasa and Erkan Erol v. Turkey, no 51358/99, § 22, 12 December 2006"
"Leempoel & S.A. ED. Ciné Revue v. Belgium, no. 64772/01, 9 November 2006"
"Ringeisen v. Austria, 16 July 1971, § 89, Series A no. 13"
"Raninen v. Finland 16 December 1997, § 55, Reports of Judgments and Decisions, 1997-VIII"
"Shukhardin v. Russia, no. 65734/01, § 84, 28 June 2007"
"Van Oosterwijck v. Belgium, 6 November 1980, § 27, Series A no 40"
"Kin-Stib and Majkic v. Serbia, no 12312/05, § 84, 20 April 2010"
"Dukmedjian v. France, no. 60495/00, §§ 55-59, 31 January 2006"
"Ashot Harutyunyan v. Armenia, no. 34334/04, §§ 126 and seq., 15 June 2010"
"Lamazhyk v. Russia, no. 20571/04, 30 July 2009"
"Pakdemirli v. Turkey, no 35839/97, 22 February 2005"
"Peltier v. France, no 32872/96, 21 May 2002"
"Christians Against Racism and Fascism v. the United Kingdom, no 8440/78, decision of the Commission du 16 July 1980, Decisions and Reports (DR) 21, p. 162"
"Angelova v. Bulgaria, no 38361/97, § 138, ECHR 2002-IV"
"Flux v. Moldova (no. 7), no. 25367/05, § 41, 24 November 2009"
"Van Droogenbroeck v. Belgium, 24 June 1982, Series A no 50"
"Odièvre v. France [GC], no 42326/98, § 22, ECHR 2003-III"
"Handyside v. the United Kingdom, 7 December 1976, § 41, Series A no. 24"
"Zvolský and Zvolská c. the Czech Republic, no 46129/99, § 55, ECHR 2002-IX"
"Klamecki v. Poland (no. 2), no. 31583/96, § 144, 3 April 2003"
"Sidabras and Džiautas v. Lithuania, nos. 55480/00 and 59330/00, § 38, ECHR 2004-VIII"
"Marie-Thérèse Trocellier v. France (dec.), no 75725/01, 5 October 2006"
"Haase v. Germany, no. 11057/02, § 89, ECHR 2004-III"
"Nos. 5577-5583/72, Dec. 15.12.75, D.R. 4, p. 64"
"Oluic v. Croatia, no. 61260/08, §§ 48 to 66, 20 May 2010"
"Metropolitan Church of Bessarabia and Others v. Moldova, no. 45701/99, ECHR 2001-XII"
"Radio ABC v. Austria, 20 October 1997, § 27, Reports 1997-VI"
"Voggenreiter v.  Germany, no 47169/99, ECHR 2004-I"
"Beyeler c. Italie [GC], no 33202/96, § 100, CEDH 2000-I"
"Andrejeva v. Latvia [GC], no. 55707/00, § 74, ECHR 2009"
"Beian v. Romania (no 1), no 30658/05, §§ 37-39, 6 December 2007"
"Sidiropoulos and Others v. Greece, 10 July 1998, Reports of Judgments and Decisions 1998-IV"
"The United Communist Party of Turkey and Others v. Turkey, 30 January 1998, Reports of Judgments and Decisions 1998-I"
"Ilascu and Others v. Moldova and Russia [GC], no. 48787/99, § 436, ECHR 2004-VII"
"Peca v. Greece, no 14846/05, §§ 9 and 14, 21 June 2007"
"Epple v. Germany, no. 77909/01, § 37, 24 March 2005"
"Musci v. Italy [GC], no 64699/01, § 116, ECHR 2006-V (extracts)"
"Vlasov v. Russia, no. 78146/01, 12 June 2008."
"Aydin and Others v. Turkey (dec.), no. 46231/99, 26 May 2005"
"Huglo Lepage and Associés SCP v. France (dec.), no 59477/00, 30 March 2004"
"Palau-Martinez v. France, no. 64927/01, ECHR 2003-XII"
"Steel and Morris v. the United Kingdom, no. 68416/01, § 59, ECHR 2005-II"
"The Sunday Times v. the United Kingdom (no. 2), 26 November 1991, § 51, Series A no. 217"
"Alboize-Barthes and Alboize-Montezume v. France (dec.), no 44421/04, 21 October 2008"
"Ali Günes v. Turkey, no 9829/07, 10 April 2012"
"Pravednaya v. Russia, no. 69529/01, 18 November 2004"
"Hansen v. Turkey, no. 36141/97, §§ 97-99, 23 September 2003"
"Sashov and Others v. Bulgaria, no. 14383/03, § 48, 7 January 2010"
"Jablonski v. Poland, no. 33492/96, 21 December 2000"
"Valmont v. the United Kingdom, (dec.), no. 36385/97, 23.3.99"
"Lustig-Prean and Beckett v. the United Kingdom (Article 41), 25 July 2000"
"Öneryildiz v. Turkey [GC], no. 48939/99, ECHR 2004-XII"
"Fox, Campbell and Hartley v. the United Kingdom, 30 August 1990, Series A no. 182"
"García Ruiz v. Spain, 21 January 1999, Reports 1999-I, § 26"
"Suuripää v. Finland, no. 43151/02, 12 January 2010"
"Řehák v. Czech Republic (dec.), no. 67208/01, 18 May 2004"
"Güleç v. Turkey, 27 July 1998, §§ 80-82, Reports 1998-IV"
"Crnišanin and Others v. Serbia, nos. 35835/05, 43548/05, 43569/05 and 36986/06, 13 January 2009"
"Delta v. France, 19 December 1990, § 35, Series A no. 191"
"Pandjikidzé and Others v. Georgia, no. 30323/02, § 104, 27 October 2009"
"Khudobin v. Russia, no. 59696/00, § 93, ECHR 2006-XII"
"Kutzner v. Germany, no 46544/99, § 68, ECHR 2002-I"
"Stec and Others v. the United Kingdom (dec.), no. 65731/01 and 65900/01, § 39 ECHR 2005-X"
"Grieves v. the United Kingdom [GC], no. 57067/00, § 69, 16 December 2003"
"Nikolov v. Bulgaria, no. 38884/97, § 82, 30 January 2003"
"Ruslan Umarov v. Russia, no. 12712/02, § 82, 3 July 2008"
"Scheper v. the Netherlands (dec.), no. 39209/02, 5 April 2005"
"DMD GROUP, a.s. v. Slovakia, no. 19334/03, 5 October 2010, § 60, 5 October 2010"
"Çinar v. Turkey, no 17864/91, decision of the Commission du 5 September 1994"
"Eriksen v. Norway, 27 May 1997, Reports 1997-III"
"Aparicio Benito v. Spain (dec.), no. 36150/03, 3 November 2006"
"Broniowski v. Poland (friendly settlement) [GC], no. 31443/96, § 35, ECHR 2005-IX"
"Fedorov and Fedorova v. Russia, no. 31008/02, §§ 44-46, 13 October 2005"
"Pini and Others v. Romania, nos. 78028/01 and 78030/01, §§ 143 and 146, ECHR 2004-V"
"Broniowski v. Poland [GC], no. 31443/96, §§ 189-194 and the operative part, ECHR 2004-V"
"Selmouni v. France [GC], no 25803/94, § 95, ECHR 1999 -V"
"Wemhoff v. Germany, 27 June 1968, § 9, Series A no. 7"
"Ertan and Others v. Turkey (dec.), no. 57898/00, 21 March 2006"
"Zaunegger v. Germany, no. 22028/04, §§ 22-27, 3 December 2009"
"Egmez v. Cyprus, no 30873/96, § 71, ECHR 2000-XII"
"Fedotov v. Russia, no. 5140/02, § 67, 25 October 2005"
"Sukhovoy v. Russia,  no. 63955/00, §§ 20-34, 27 March 2008"
"July and Sarl Libération v. France, no 20893/03, § 66, ECHR 2008 (extracts)"
"X, Y and Z v. Germany (no. 7694/76, Commission decision of 14 October 1977, Decisions and Reports (DR) 12, p. 131)"
"Edificaciones March Gallego S.A. v. Spain, 19 February 1998, § 35, Reports of Judgments and Decisions 1998-I"
"Chahal v. the United Kingdom, 15 November 1996, § 126, Reports of Judgments and Decisions 1996-V"
"T. v. the United Kingdom [GC], no. 24724/94, § 69, 16 December 1999"
"Yurtayev v. Ukraine, no. 11336/02, § 37, 31 January 2006"
"X. v. Germany, no. 8098/77, Commission decision of 13 December 1978, Decisions and Reports (DR) 16, p. 111"
"Medvedyev and Others v. France ([GC], no 3394/03, ECHR 2010-..."
"Eur. Court H.R. Delcourt judgment of 17 January 1970, Series A no. 11, para. 25"
"Gratzinger and Gratzingerova v. the Czech Republic (dec.) [GC], no. 39794/98, § 69, ECHR 2002-VII"
"Kosmopoulou v. Greece, no. 60457/00, 5 February 2004"
"Powell v. the United Kingdom (dec.), no. 45305/99, ECHR 2000-V"
"Nekvedavicius v. Germany (dec.), no. 46165/99, 19 June 2003"
"Tüzel v. Turkey (no 2), no 71459/01, § 16, 31 October 2006"
"Smokovitis and Others v. Greece, no. 46356/99, § 24, 11 April 2002"
"Ekinci and Akalin v. Turkey, no 77097/01, § 47, 30 January 2007"
"Súsanna Rós Westlund v. Iceland, no. 42628/04, 6 December 2007"
"Varnava and Others v. Turkey [GC], nos. 16064/90, 16065/90, 16066/90, 16068/90, 16069/90, 16070/90, 16071/90, 16072/90 and 16073/90, § 157, ECHR 2009"
"Paulic v. Croatia, no. 3572/06, § 44, 22 October 2009"
"Yvon v. France, 24 April 2003, no 44962/98, ECHR 2003-V"
"Ex-roi de Greece and Others c. Greece (just satisfaction) [GC], no 25701/94, § 78, 28 November 2002"
"Pichon and Sajous v. France, no. 49853/99, ECHR 2001-X"
"John Murray v. the United Kingdom, 8 February 1996, § 45, Reports 1996-I"
"Jabari v. Turkey, no. 40035/98, § 41, ECHR 2000-VII"
"Cheminade v. France (dec.), no 31559/96, 26 January 1999"
"Wieser v. Austria, no. 2293/03, § 40, 22 February 2007"
"Verein gegen Tierfabriken Schweiz (VgT) v. Switzerland (no. 2) [GC], no. 32772/02, ECHR 2009"
"Dodov v. Bulgaria, no 59548/00, ECHR 2008-..."
"Sunday Times v. the United Kingdom (no. 1) (former Article 50), 6 November 1980, Series A no. 38"
"Demopoulos and Others v. Turkey (dec.), nos. 46113/99, 3843/02, 13751/02, 13466/03, 10200/04, 14163/04, 19993/04 and 21819/04, § 70, ECHR 2010-..."
"National Union of Belgian Police v. Belgium, 27 October 1975, § 38-40, Series A no. 19"
"Rózanski v. Poland, no. 55339/00, § 64, 18 May 2006"
"Beneficio Cappella Paolini v. San Marino (no. 40786/98, § 33, ECHR 2004-VIII"
"Garaudy v. France (dec.), no. 65831/01, ECHR 2003-IX (extracts)"
"Aires v. Portugal, no. 21775/93, Commission decision of 25 May 1995, DR 81, p. 48"
"Wainwright v. the United Kingdom, no. 12350/04, § 41, ECHR 2006-X"
"Demir and Baykara v. Turkey [GC], no. 34503/97, 12 November 2008"
"Luordo v. Italy, no. 32190/96, § 96, ECHR 2003-IX"
"Dedovskiy and Others v. Russia, no 7178/03, § 92, ECHR 2008"
"Mayzit c. Russia, no 63378/00, 20 January 2005"
"Streletz, Kessler and Krenz v. Germany [GC], nos.. 34044/96, 35532/97 and 44801/98, § 50, ECHR 2001-II"
"Y.B. and Others v. Turkey, nos. 48173/99 and 48319/99, §§ 45, 28 October 2004"
"Vilvarajah and Others v. the United Kingdom, judgment of 30 October 1991, Series A no. 215"
"Amihalachioaie v. Moldova, no. 60115/00, § 47, ECHR 2004-III"
"Hornsby v. Greece, 19 March 1997, § 40, Reports of Judgments and Decisions 1997-II"
"Micallef v. Malta [GC], no. 17056/06, § 55, ECHR 2009-..."
"Vojta v. the Czech Republic (dec.), no. 25126/06, 8 February 2011"
"D.P. and J.C. v. the United Kingdom, no. 38719/97, § 109, 10 October 2002"
"Prokopovich v. Russia, no. 58255/00, § 36, ECHR 2004-XI (extracts)"
"Broniowski v. Poland [GC], no. 31443/96, § 151, ECHR 2004-V"
"Maaouia v. France [GC], no 39652/98, ECHR 2000-X"
"Amihalachioaie v. Moldova, no 60115/00, §§ 27-28, ECHR 2004-III"
"Balliu v. Albania (dec.), no. 74727/01, ECHR-2004"
"Rotaru c. Romania [GC], no. 28341/95, §§ 43-44, ECHR 2000-V"
"Ashingdane v. the United Kingdom, judgment of 28 May 1985, Series A no. 93, pp. 24-25, § 57"
"Guenat v. Switzerland (dec.), no. 24722/94, Commission decision of 10 April 1995"
"Matyar v. Turkey, no. 23423/94, § 109, 21 February 2002"
"Grava v. Italy, no 43522/98, 10 July 2003"
"Anheuser-Busch Inv. v. Portugal [GC], no 73049/01, § 65, ECHR 2007-I"
"Ümit Gül v. Turkey, no. 7880/02, §§ 53-57, 29 September 2009"
"Hiro Balani v. Spain, 9 December 1994, Series A no. 303-B"
"Holy Synod of the Bulgarian Orthodox Church (Metropolitan Inokentiy) and Others v. Bulgaria, nos. 412/03 and 35677/04, § 131, 22 January 2009"
"Keenan v. the United Kingdom, no. 27229/95, § 110, ECHR 2001-III"
"Mooren v. Germany [GC], no. 11364/03, § 75, ECHR 2009-..."
"Hadjiiski and Iliev v. Bulgaria (dec.), nos. 68454/01 and 68456/01, 2 June 2005"
"Otto-Preminger-Institut v. Austria, judgment of 25 November 1994, Series A no. 295, § 47"
"Jerry Olajide Sarumi v. the United Kingdom (dec.), no. 43279/98, 26 January 1999"
"Nejdet Sahin and Perihan Sahin v. Turkey [GC], no 13279/05, §§ 56-57, 20 October 2011"
"Gerger v. Turkey [GC], no. 24919/94, 8 July 1999"
"Evans v. the United Kingdom [GC], no 6339/05, § 89, ECHR 2007-IV"
"Fatma Tunç v. Turkey (no. 2), no. 18532/05, 13 October 2009"
"Kukkonen v. Finland, no. 57793/00, § 20, 7 June 2007"
"Lopes Gomes da Silva v. Portugal, no. 37698/97, § 36, ECHR 2000-X"
"Khudobin v. Russia, no. 59696/00, § 142, ECHR 2006-XII"
"Šilih v. Slovenia, [GC], no. 71463/01, 9 April 2009"
"Tanrikulu [GC], no 23763/94, ECHR 1999-IV, § 109"
"Castravet v. Moldova, no. 23393/05, § 58, 13 March 2007"
"Kamil Uzun v. Turkey, no. 37410/97, § 64, 10 May 2007"
"Drozd and Janousek v. France and Spain, 26 June 1992, § 91, Series A no 240"
"Lombardi Vallauri v. Italy, no. 39128/05, ECHR 2009-..."
"Foka v. Turkey, no. 28940/95, § 75, 24 June 2008"
"Selmouni v. France [GC], no. 25803/94, §§ 78-79, 81, 87, ECHR 1999-V"
"Eur. Court H.R. James and others judgment of 21 February 1986, Series A no. 98, p. 32, para. 45"
"Bertuzzi v. France (dec.), no 21881/93, 12 April 1994"
"Burdov (no. 2), no. 33509/04, § 144 , 15 January 2009"
"S.T.S. v. the Netherlands (no. 277/05, §§ 43-50 and 58-62, 7 June 2011"
"Kadubec v. Slovakia, 2 September 1998, § 57, Reports of Judgments and Decisions 1998-VI"
"Eminbeyli v. Russia, no. 42443/02, 26 February 2009"
"Ismailov v. Ukraine, no. 17323/04, §§ 44-47, §§ 44-47, 27 November 2008"
"Nold v. Germany, no. 27250/02, 29 June 2006"
"Evans v. the United Kingdom [GC], no. 6339/05, §§ 75 and 77, ECHR 2007-IV"
"Šubinski v. Slovenia, no. 19611/04, § 62, 18 January 2007"
"Sulejmanovic v. Italy, no 22635/03, § 43, 16 July 2009"
"Andrei Georgiev v. Bulgaria, no. 61507/00, § 78, 26 July 2007"
"Ukraine-Tyumen v. Ukraine (just satisfaction), no. 22603/02, § 22, 20 May 2010"
"Iatridis v. Greece [GC], no 31107/96, § 58 ECHR 1999-II"
"S.B.C. v. the United Kingdom, no. 39360/98, 19 June 2001"
"Levages Prestations Services v. France, 23 October 1996, §§ 40 and 48, Reports, 1996-V"
"Pullar v. the United Kingdom, 10 June 1996, § 32, Reports 1996-III"
"Luluyev and Others v. Russia, no. 69480/01, ECHR 2006-XIII"
"United Communist Party of Turkey and Others v. Turkey, 30 January 1998, § 29, Reports of Judgments and Decisions 1998 I"
"Guiso-Gallisay v. Italy (just satisfaction) [GC], no 58858/00, § 90, 22 December 2009"
"Achour v. France [GC], no. 67335/01, § 41, ECHR 2006-IV"
"Sentges v. the Netherlands (dec.) no. 27677/02, 8 July 2003"
"Simeonov v. Bulgaria, no. 30122/03, §§ 43-47, 28 January 2010"
"Kovacic and Others v. Slovenia [GC], nos. 44574/98, 45133/98 and 48316/99, § 194, ECHR 2008"
"Musial v. Poland [GC], no. 24557/94, § 43, ECHR 1999 II"
"Benham v. the United Kingdom, 10 June 1996, § 41, Reports 1996 III"
"Jahn and Others v. Germany [GC], nos. 46720/99, 72203/01 and 72552/01, § 91, ECHR 2005-VI"
"Marckx v. Belgium, 13 June 1979, Series A no 31"
"Polonskiy v. Russia, no. 30033/05, §§ 90-91, 19 March 2009"
"D.N. v. Switzerland [GC], no 27154/95, § 41, ECHR 2001-III"
"Drozd and Janousek v. France and Spain, 26 June 1992, § 107, Series A no. 240Galstyan v. Armenia, no. 26986/03, §§ 46 49, 15 November 2007"
"Van Deilena v. Latvia (dec.), no. 50950/06, § 62, 15 May 2012"
"Ireland v. the United Kingdom, 18 January 1978, § 162, Series A no. 25"
"Lind v. Russia, no. 25664/05, § 59, 6 December 2007"
"Odièvre v. France [GC], no. 42326/98, § 29, ECHR 2003-III"
"Slavcho Kostov v. Bulgaria, no. 28674/03, §§ 62 and 63, 27 November 2008"
"Çiçek v. Turkey, no. 25704/94, § 164, 27 February 2001"
"Kazmierczak v. Poland, no. 4317/04, § 54, 10 March 2009"
"Bekir-Ousta and Others v. Greece, no 35151/05, § 26, 11 October 2007"
"Thlimmenos v. Greece [GC], no 34369/97, ECHR 2000-IV"
"Plattform ""Ärzte für das Leben"" judgment of 21 June 1988, Series A no. 139, p. 11, paras. 25, 27"
"Güler v. Turkey (dec.), no. 14152/02, 28 September 2006"
"Rivière v. France, no. 33834/03, § 62, 11 July 2006"
"Tám c. Slovakia, no. 50213/99, 22 June 2004"
"Timurtas v. Turkey, no. 3531/94, ECHR 2000-VI"
"Mukhutdinov v. Russia, no. 13173/02, § 77, 10 June 2010"
"Pretto and Others v. Italy, 8 December 1983, § 25-27, Series A no. 71"
"Mohammed Ali Hassan Al-Moayad v. Germany (dec.), no. 35865/03, 20 February 2007"
"Schuler-Zgraggen v. Switzerland, 24 June 1993, Series A no. 263"
"Romero Martin v. Spain (dec.), no. 32045/03, 12 June 2006"
"Khudoyorov v. Russia, no. 6847/02, § 113, ECHR 2005-X (extracts)"
"Othman (Abu Qatada) v. the United Kingdom, no. 8139/09, §§ 188-89, ECHR 2012 (extracts)"
"Sabou and Pircalab v. Romania, no. 46572/99, §§ 46-47, 28 September 2004"
